Stock_No,Make,Model,Trim,Year,Eng,Trans,Color,Mileage,VIN,Options,Days in Stock,Cert.,Photos,Warranty Type
302841,GMC,Canyon,4WD AT4,2024,Turbocharged Gas I4 2.7L/,Automatic,Black,"4,195",1GTP6DEK1R1302841,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,15,No,Yes,BOF
325737,GMC,Sierra 1500,Denali 4WD,2024,Gas V8 5.3L/325,Automatic,Black,"22,176",3GTUUGED4RG325737,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,86,No,Yes,BOF
342593,GMC,Sierra 1500,SLT,2016,Gas V8 5.3L/325,Automatic,White,"94,563",3GTU2NEC5GG342593,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,15,No,Yes,AS-IS
373768,GMC,Sierra 1500,SLT,2015,Gas V8 5.3L/325,Automatic,Gray,"173,420",3GTU2VEC6FG373768,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,7,No,Yes,AS-IS
512837,GMC,Sierra 2500HD,Denali 4WD Crew Cab,2015,Turbocharged Diesel V8 6.6L/403,Automatic,White,"360,388",1GT120E81FF512837,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,55,No,Yes,AS-IS
514042,GMC,Sierra 2500HD,Denali 4WD Crew Cab,2015,Turbocharged Diesel V8 6.6L/403,Automatic,White,"181,007",1GT120E85FF514042,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,55,No,Yes,AS-IS
537204,GMC,Sierra 1500,SLT,2018,Gas V8 5.3L/325,Automatic,White,"161,675",3GTU2NEC2JG537204,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,52,No,Yes,AS-IS
633636,GMC,Sierra 1500,,2022,Turbocharged Diesel I6 3.0L/183,Automatic,Black,"63,144",3GTUUEET7NG633636,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,99,No,Yes,BOF
902039,GMC,Savana Commercial Cutaway,3500,2011,Gas/Ethanol V8 6.0L/364,Automatic,Non-Color,"208,397",1GD374CG8B1902039,Amplitude modulation and frequency modulation radio with compact disc player|Anti-lock braking system|Air conditioning|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors|Electronic engine immobilizer|Security alarm system,485,No,Yes,AS-IS
000934,Honda,CR-V Hybrid,Touring AWD,2021,Gas/Electric I-4 2.0 L/122,Variable,Gray,"23,313",7FART6H97ME000934,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,"1,331",No,Yes,BOF
004702,Honda,CR-V,EX-L,2022,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,Variable,,0,5J6RW1H84NA004702,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,2,No,Yes,BOF
011720,Honda,Accord Hybrid,Touring,2022,Gas/Electric I-4 2.0 L/122,Variable,White,"28,321",1HGCV3F99NA011720,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,57,No,Yes,BOF
015271,Honda,CR-V,EX,2022,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,Variable,Gray,"33,924",7FARW1H54NE015271,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,49,No,Yes,BOF
052796,Honda,Pilot,EX-L,2017,Regular Unleaded V-6 3.5 L/212,Automatic,,"134,692",5FNYF6H54HB052796,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,7,No,Yes,AS-IS
083457,Honda,Accord Sedan,EX,2024,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,Variable,,"4,093",1HGCY1F3XRA083457,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,50,No,Yes,BOF
097069,Honda,Pilot,EX-L,2021,Regular Unleaded V-6 3.5 L/212,Automatic,,"17,738",5FNYF6H58MB097069,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,41,No,Yes,BOF
611841,Honda,CR-V,EX-L,2020,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,Variable,,0,2HKRW2H85LH611841,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,2,No,Yes,AS-IS
708954,Honda,CR-V Hybrid,Sport,2023,Gas/Electric I-4 2.0 L/122,Variable,Red,"28,530",2HKRS5H59PH708954,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,363,No,Yes,BOF
217787,Hyundai,Tucson,Limited FWD,2023,Regular Unleaded I-4 2.5 L/152,Automatic,Blue,"2,872",5NMJE3AE4PH217787,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,755,No,Yes,BOF
292824,Hyundai,Santa Fe,SEL,2020,Intercooled Turbo Regular Unleaded I-4 2.0 L/122,Automatic,Teal,"94,071",5NMS33AA5LH292824,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,7,No,Yes,AS-IS
312666,Hyundai,Kona,SEL,2025,Regular Unleaded I-4 2.0 L/122,Variable,Gray,"9,432",KM8HB3AB4SU312666,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,21,No,Yes,BOF
397706,Hyundai,Sonata,SEL,2024,Regular Unleaded I-4 2.5 L/152,Automatic,Blue,"28,527",KMHL64JA9RA397706,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,41,No,Yes,BOF
485186,Hyundai,Santa Fe,SEl FWD,2023,Regular Unleaded I-4 2.5 L/152,Automatic,White,"5,366",5NMS24AJ2PH485186,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,841,No,Yes,BOF
131841,Jeep,Wrangler,Rubicon 4WD Convertible,2024,Regular Unleaded V-6 3.6 L/220,Automatic,Black,"7,122",1C4PJXFG4RW131841,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,141,No,Yes,BOF
163293,Jeep,Compass,Trailhawk,2022,Regular Unleaded I-4 2.4 L/144,Automatic,Silver,0,3C4NJDDB9NT163293,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,2,No,Yes,BOF
274572,Jeep,Wrangler 4xe,Unlimited Sahara 4WD,2022,Intercooled Turbo Gas/Electric I-4 2.0 L/122,Automatic,Gray,"33,693",1C4JJXP68NW274572,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,659,No,Yes,BOF
300599,Jeep,Wrangler Unlimited,Rubicon 4WD,2020,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Automatic,Blue,"67,916",1C4HJXFN0LW300599,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,370,No,Yes,AS-IS
510041,Jeep,Wrangler Unlimited,Sahara 4WD,2019,Intercooled Turbo Gas/Electric I-4 2.0 L/122,Automatic,White,"99,849",1C4HJXEN2KW510041,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,281,No,Yes,AS-IS
521807,Jeep,Wrangler,Unlimited Willys 4WD Convertible,2021,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Automatic,Green,"60,615",1C4HJXDN6MW521807,Power door locks|Power windows|Cruise control|Anti-lock braking system|Air conditioning|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,106,No,Yes,AS-IS
526810,Jeep,Gladiator,Mojave 4WD Crew Cab,2021,Regular Unleaded V-6 3.6 L/220,Automatic,Red,"31,826",1C6JJTEG5ML526810,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,58,No,Yes,BOF
589714,Jeep,Gladiator,,2021,Regular Unleaded V-6 3.6 L/220,Automatic,White,"11,111",1C6JJTEG5ML589714,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,"1,200",No,Yes,BOF
617332,Jeep,Wrangler,Sport,2013,Gas V6 3.6L/231,Manual,Blue,"163,515",1C4AJWAG1DL617332,Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Air conditioning|Electronic stability control|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,50,No,Yes,AS-IS
624366,Jeep,Grand Cherokee,Laredo E,2021,Regular Unleaded V-6 3.6 L/220,Automatic,Silver,"42,057",1C4RJEAG2MC624366,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,31,No,Yes,BOF
733002,Jeep,Wrangler Unlimited,Rubicon,2015,Regular Unleaded V-6 3.6 L/220,Manual,Gray,"52,548",1C4BJWFG1FL733002,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,35,No,Yes,AS-IS
244215,Kia,K5,GT,2024,Intercooled Turbo Regular Unleaded I-4 2.5 L/152,Automatic,Gray,"26,751",5XXG44J88RG244215,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,10,No,Yes,BOF
252469,Kia,Niro Plug-In Hybrid,EX Premium,2019,Gas/Electric I-4 1.6 L/96,Automatic,Blue,"38,882",KNDCC3LD2K5252469,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,56,No,Yes,AS-IS
522156,Kia,Niro,Touring SE Hybrid,2022,Gas/Electric I-4 1.6 L/96,Automatic,Red,"13,803",KNDCC3LC1N5522156,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,"1,171",No,Yes,BOF
144251,Land Rover,Defender,130 First Edition AWD,2023,Intercooled Turbo Gas/Electric I-6 3.0 L/183,Automatic,White,"19,897",SALEVFEU1P2144251,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,507,No,Yes,BOF
479186,Land Rover,Discovery,P360 Metropolitan Edition,2023,Intercooled Turbo Gas/Electric I-6 3.0 L/183,Automatic,White,"25,579",SALRW4EUXP2479186,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,141,No,Yes,BOF
748337,Land Rover,Range Rover Sport,HST,2020,Intercooled Turbo Gas/Electric I-6 3.0 L/183,Automatic,White,"57,647",SALWS2RU7LA748337,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,86,No,Yes,AS-IS
047426,Lexus,GX,GX 550 Luxury,2025,Twin Turbo Premium Unleaded V-6 3.4 L/210,Automatic,,"4,071",JTJVBCDX9S5047426,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,31,No,Yes,BOF
105213,Lexus,ES 300h,Hybrid,2016,Gas/Electric I-4 2.5 L/152,Variable,Gray,"157,877",JTHBW1GG7G2105213,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,57,No,Yes,AS-IS
L06107,Lincoln,Navigator L,Reserve 4WD,2023,Twin Turbo Premium Unleaded V-6 3.5 L/213,Automatic,White,"13,267",5LMJJ3LGXPEL06107,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,199,No,Yes,BOF
L12770,Lincoln,Aviator,Reserve II AWD,2020,Twin Turbo Premium Unleaded V-6 3.0 L/183,Automatic,Tan,"39,792",5LM5J7XC7LGL12770,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,"1,451",No,Yes,BOF
L14729,Lincoln,Aviator,Reserve AWD,2023,Twin Turbo Premium Unleaded V-6 3.0 L/183,Automatic,Tan,"13,556",5LM5J7XC1PGL14729,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,83,No,Yes,BOF
079073,Mercedes-Benz,GLC,GLC 300,2018,Intercooled Turbo Premium Unleaded I-4 2.0 L/121,Automatic,,0,WDC0G4JB0JV079073,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,2,No,Yes,AS-IS
091977,Mercedes-Benz,SL-Class,5.0L,2005,Gas V8 5.0L/303,Automatic,,"145,681",WDBSK75F25F091977,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors|Electronic engine immobilizer,51,No,Yes,AS-IS
271400,Mercedes-Benz,SLK-Class,3.2L,2003,Gas V6 3.2L/195,,,0,WDBKK65F53F271400,Power door locks|Power windows|Cruise control|Anti-lock braking system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors|Electronic engine immobilizer|Security alarm system,50,No,Yes,AS-IS
130330,Polaris,Slingshot,SLR,2018,,,,0,57XAARFA9K8130330,Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors|Electronic engine immobilizer|Security alarm system|Speed sensitive power door locks,43,No,Yes,AS-IS
229517,Pontiac,Firebird,WS6,1998,Gas V8 5.7L/346,Manual,Silver,"75,559",2G2FV22G0W2229517,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors|Electronic engine immobilizer,51,No,Yes,AS-IS
100852,Ram,2500,Big Horn 4WD Crew Cab,2024,Intercooled Turbo Diesel I-6 6.7 L/408,Automatic,White,"59,829",3C6UR5DL0RG100852,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,100,No,Yes,BOF
116154,Ram,1500,Big Horn 4WD Crew cab,2016,Intercooled Turbo Diesel V-6 3.0 L/182,Automatic,Gray,"116,154",1C6RR7TMXGS116154,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors,55,No,Yes,AS-IS
